Year,Country,Image url,Region code,Region,Overall Rank,Happiness Score,Happiness Status,GDP per capita,Family,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
2016,Brazil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,19,AMERICAS,17,6.952,Green,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166
2017,Brazil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,19,AMERICAS,22,6.635,Green,1.10735,1.43131,0.616552,0.437454,0.16235,0.111093
2018,Brazil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,19,AMERICAS,27,6.419,Green,0.986,1.474,0.675,0.493,0.11,0.088
2019,Brazil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,19,AMERICAS,32,6.3,Green,1.004,1.439,0.802,0.39,0.099,0.086
2015,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,150,EUROPE,134,4.218,Green,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872
2016,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,150,EUROPE,129,4.217,Green,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615
2017,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,150,EUROPE,105,4.714,Green,1.16146,1.43438,0.708218,0.289232,0.113178,0.0110515
2018,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,150,EUROPE,99,4.933,Green,1.054,1.515,0.712,0.359,0.064,0.009
2019,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,150,EUROPE,97,5.011,Green,1.092,1.513,0.815,0.311,0.081,0.004
2015,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,2,AFRICA,152,3.587,Green,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832
